strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
a_asian_continuation,SHORT,2021-05-17 11:45:00+00:00,13322.5,13326.0,13315.5,2021-05-17 11:46:00+00:00,13315.5,target,14.0,28,1.0,2021,6,"ON_break SHORT close5=13311.25 on=[13317.50,13398.75]"
b_rth_open_drive_scalp,SHORT,2021-05-18 13:35:00+00:00,13332.0,13335.25,13325.5,2021-05-18 13:36:00+00:00,13335.25,stop,-6.5,-13,1.0,2021,8,OR_drive SHORT progress=-51%
g_inside_bar_breakout,SHORT,2021-05-18 15:55:00+00:00,13341.0,13346.75,13329.5,2021-05-18 15:58:00+00:00,13329.5,target,23.0,46,3.0,2021,10,"IB_break SHORT ib=[13332.50,13346.50]"
a_asian_continuation,SHORT,2021-05-19 11:30:00+00:00,13020.5,13024.0,13013.5,2021-05-19 11:31:00+00:00,13013.5,target,14.0,28,1.0,2021,6,"ON_break SHORT close5=13005.00 on=[13013.00,13223.25]"
a_asian_continuation,SHORT,2021-05-20 09:20:00+00:00,13185.75,13189.25,13178.75,2021-05-20 09:22:00+00:00,13178.75,target,14.0,28,2.0,2021,4,"ON_break SHORT close5=13158.50 on=[13166.50,13259.00]"
e_multi_day_breakout,LONG,2021-05-20 14:00:00+00:00,13387.0,13380.75,13399.5,2021-05-20 14:01:00+00:00,13399.5,target,25.0,50,1.0,2021,9,3d_break LONG 3dH=13396.50 3dL=12969.50
g_inside_bar_breakout,LONG,2021-05-20 14:25:00+00:00,13414.0,13407.5,13427.0,2021-05-20 14:33:00+00:00,13427.0,target,26.0,52,8.0,2021,9,"IB_break LONG ib=[13407.75,13417.75]"
g_inside_bar_breakout,LONG,2021-05-20 18:25:00+00:00,13484.5,13478.75,13496.0,2021-05-20 18:31:00+00:00,13496.0,target,23.0,46,6.0,2021,13,"IB_break LONG ib=[13479.00,13486.00]"
e_multi_day_breakout,LONG,2021-05-21 13:55:00+00:00,13518.5,13511.5,13532.5,2021-05-21 13:57:00+00:00,13532.5,target,28.0,56,2.0,2021,8,3d_break LONG 3dH=13524.00 3dL=12969.50
g_inside_bar_breakout,SHORT,2021-05-21 18:15:00+00:00,13456.75,13460.75,13448.75,2021-05-21 18:18:00+00:00,13448.75,target,16.0,32,3.0,2021,13,"IB_break SHORT ib=[13453.50,13460.50]"
a_asian_continuation,LONG,2021-05-24 12:00:00+00:00,13496.25,13492.75,13503.25,2021-05-24 12:03:00+00:00,13503.25,target,14.0,28,3.0,2021,7,"ON_break LONG close5=13503.25 on=[13356.25,13499.00]"
e_multi_day_breakout,LONG,2021-05-24 13:48:00+00:00,13562.0,13559.25,13567.5,2021-05-24 13:49:00+00:00,13567.5,target,11.0,22,1.0,2021,8,3d_break LONG 3dH=13569.75 3dL=12969.50
g_inside_bar_breakout,SHORT,2021-05-24 15:50:00+00:00,13654.75,13658.75,13646.75,2021-05-24 16:03:00+00:00,13658.75,stop,-8.0,-16,13.0,2021,10,"IB_break SHORT ib=[13652.50,13658.50]"
g_inside_bar_breakout,SHORT,2021-05-24 16:20:00+00:00,13641.0,13646.75,13629.5,2021-05-24 16:22:00+00:00,13646.75,stop,-11.5,-23,2.0,2021,11,"IB_break SHORT ib=[13640.25,13646.50]"
g_inside_bar_breakout,SHORT,2021-05-24 16:40:00+00:00,13637.5,13644.5,13623.5,2021-05-24 17:02:00+00:00,13644.5,stop,-14.0,-28,22.0,2021,11,"IB_break SHORT ib=[13639.25,13644.25]"
g_inside_bar_breakout,LONG,2021-05-24 17:40:00+00:00,13660.0,13655.5,13669.0,2021-05-24 17:59:00+00:00,13655.5,stop,-9.0,-18,19.0,2021,12,"IB_break LONG ib=[13655.75,13661.25]"
g_inside_bar_breakout,LONG,2021-05-24 18:05:00+00:00,13661.5,13655.75,13673.0,2021-05-24 18:25:00+00:00,13673.0,target,23.0,46,20.0,2021,13,"IB_break LONG ib=[13656.00,13662.00]"
g_inside_bar_breakout,LONG,2021-05-24 18:45:00+00:00,13681.0,13678.0,13687.0,2021-05-24 18:59:00+00:00,13678.0,stop,-6.0,-12,14.0,2021,13,"IB_break LONG ib=[13678.25,13682.50]"
g_inside_bar_breakout,SHORT,2021-05-25 14:15:00+00:00,13670.0,13673.75,13662.5,2021-05-25 14:16:00+00:00,13662.5,target,15.0,30,1.0,2021,9,"IB_break SHORT ib=[13654.25,13673.50]"
g_inside_bar_breakout,SHORT,2021-05-25 18:50:00+00:00,13648.0,13651.5,13641.0,2021-05-25 18:51:00+00:00,13641.0,target,14.0,28,1.0,2021,13,"IB_break SHORT ib=[13643.25,13651.25]"
