strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
raschke_ema50_ref,SHORT,2021-05-17 14:25:00+00:00,13311.5,13315.25,13304.0,2021-05-17 14:26:00+00:00,13315.25,stop,-7.5,-15,1.0,2021,9,raschke SHORT pb=13288.00 ema=13312.05
raschke_baseline,SHORT,2021-05-17 15:00:00+00:00,13301.75,13305.25,13294.75,2021-05-17 15:01:00+00:00,13294.75,target,14.0,28,1.0,2021,10,raschke SHORT pb=13281.25 ema=13294.41
raschke_loose_trend,SHORT,2021-05-17 15:00:00+00:00,13301.75,13305.25,13294.75,2021-05-17 15:01:00+00:00,13294.75,target,14.0,28,1.0,2021,10,raschke SHORT pb=13281.25 ema=13294.41
raschke_1.5r_target,SHORT,2021-05-17 15:00:00+00:00,13301.75,13305.25,13296.5,2021-05-17 15:01:00+00:00,13296.5,target,10.5,21,1.0,2021,10,raschke SHORT pb=13281.25 ema=13294.41
raschke_3r_target,SHORT,2021-05-17 15:00:00+00:00,13301.75,13305.25,13291.25,2021-05-17 15:01:00+00:00,13291.25,target,21.0,42,1.0,2021,10,raschke SHORT pb=13281.25 ema=13294.41
raschke_short_only,SHORT,2021-05-17 15:00:00+00:00,13301.75,13305.25,13294.75,2021-05-17 15:01:00+00:00,13294.75,target,14.0,28,1.0,2021,10,raschke SHORT pb=13281.25 ema=13294.41
raschke_loose_trend,LONG,2021-05-17 19:30:00+00:00,13254.75,13246.5,13271.25,2021-05-17 19:32:00+00:00,13271.25,target,33.0,66,2.0,2021,14,raschke LONG pb=13261.00 ema=13249.38
raschke_baseline,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13343.75,2021-05-18 17:18:00+00:00,13343.75,target,18.0,36,3.0,2021,12,raschke SHORT pb=13345.75 ema=13356.72
raschke_loose_trend,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13343.75,2021-05-18 17:18:00+00:00,13343.75,target,18.0,36,3.0,2021,12,raschke SHORT pb=13345.75 ema=13356.72
raschke_ema9_ref,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13343.75,2021-05-18 17:18:00+00:00,13343.75,target,18.0,36,3.0,2021,12,raschke SHORT pb=13345.75 ema=13354.45
raschke_1.5r_target,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13346.0,2021-05-18 17:17:00+00:00,13346.0,target,13.5,27,2.0,2021,12,raschke SHORT pb=13345.75 ema=13356.72
raschke_3r_target,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13339.25,2021-05-18 17:24:00+00:00,13357.25,stop,-9.0,-18,9.0,2021,12,raschke SHORT pb=13345.75 ema=13356.72
raschke_short_only,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13343.75,2021-05-18 17:18:00+00:00,13343.75,target,18.0,36,3.0,2021,12,raschke SHORT pb=13345.75 ema=13356.72
raschke_ema9_ref,SHORT,2021-05-18 18:30:00+00:00,13309.0,13314.5,13298.0,2021-05-18 18:33:00+00:00,13298.0,target,22.0,44,3.0,2021,13,raschke SHORT pb=13302.00 ema=13314.26
