strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year
vwap_band_reversion,SHORT,2026-04-15 05:00:00+00:00,26009.0,26051.962911276027,26017.190025109012,2026-04-15 05:01:00+00:00,26017.190025109012,target,-16.5,-33,1.0,2026
bias_momentum,SHORT,2026-04-15 05:00:00+00:00,26019.5,26034.5,25982.0,2026-04-15 05:25:00+00:00,25982.0,target,75.0,150,25.0,2026
vwap_band_reversion,SHORT,2026-04-15 05:01:00+00:00,26009.0,26051.962911276027,26017.190025109012,2026-04-15 05:04:00+00:00,26017.190025109012,target,-16.5,-33,3.0,2026
vwap_pullback_v2,SHORT,2026-04-15 05:03:00+00:00,26024.0,26044.75,25986.75,2026-04-15 05:23:00+00:00,25986.75,target,74.5,149,20.0,2026
vwap_band_reversion,SHORT,2026-04-15 05:04:00+00:00,26009.0,26051.962911276027,26017.190025109012,2026-04-15 05:05:00+00:00,26017.190025109012,target,-16.5,-33,1.0,2026
bias_momentum,SHORT,2026-04-15 05:32:00+00:00,25984.75,26011.25,25918.5,2026-04-15 08:02:00+00:00,26011.25,stop,-53.0,-106,150.0,2026
spring_setup,SHORT,2026-04-15 05:40:00+00:00,25979.5,25999.0,25950.25,2026-04-15 07:06:00+00:00,25999.0,stop,-39.0,-78,86.0,2026
vwap_band_reversion,LONG,2026-04-15 05:55:00+00:00,25978.25,25961.809540958482,26011.67586858366,2026-04-15 08:02:00+00:00,26011.67586858366,target,67.0,134,127.0,2026
vwap_pullback_v2,SHORT,2026-04-15 06:01:00+00:00,25986.25,26010.0,25943.5,2026-04-15 08:02:00+00:00,26010.0,stop,-47.5,-95,121.0,2026
spring_setup,LONG,2026-04-15 07:42:00+00:00,25998.25,25981.5,26023.375,2026-04-15 07:45:00+00:00,25981.5,stop,-33.5,-67,3.0,2026
spring_setup,LONG,2026-04-15 07:45:00+00:00,26001.25,25961.0,26061.625,2026-04-15 10:15:00+00:00,25961.0,stop,-80.5,-161,150.0,2026
