strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,mae_ticks,mfe_ticks,regime,tod_bucket
a_asian_continuation,SHORT,2021-05-17 11:45:00+00:00,13322.5,13326.0,13315.5,2021-05-17 11:46:00+00:00,13315.5,target,9.18,28,1.0,2021,1.0,38.0,MEAN_REVERT_CHOP,Globex Overnight
raschke_baseline,SHORT,2021-05-17 15:00:00+00:00,13301.75,13305.25,13294.75,2021-05-17 15:01:00+00:00,13294.75,target,9.18,28,1.0,2021,2.0,78.0,MEAN_REVERT_CHOP,Other RTH
a_asian_continuation,SHORT,2021-05-18 12:45:00+00:00,13365.75,13369.25,13358.75,2021-05-18 12:46:00+00:00,13369.25,stop,-11.82,-14,1.0,2021,19.0,5.0,MEAN_REVERT_CHOP,Globex Overnight
g_inside_bar_breakout,SHORT,2021-05-18 15:55:00+00:00,13341.0,13346.75,13329.5,2021-05-18 15:58:00+00:00,13329.5,target,18.18,46,3.0,2021,5.0,49.0,MEAN_REVERT_CHOP,Mid-Day Lull
raschke_baseline,SHORT,2021-05-18 17:15:00+00:00,13352.75,13357.25,13343.75,2021-05-18 17:18:00+00:00,13343.75,target,13.18,36,3.0,2021,0.0,39.0,MEAN_REVERT_CHOP,Mid-Day Lull
a_asian_continuation,SHORT,2021-05-19 11:30:00+00:00,13020.5,13024.0,13013.5,2021-05-19 11:31:00+00:00,13013.5,target,9.18,28,1.0,2021,0.0,32.0,MEAN_REVERT_CHOP,Globex Overnight
a_asian_continuation,SHORT,2021-05-20 09:20:00+00:00,13185.75,13189.25,13178.75,2021-05-20 09:22:00+00:00,13178.75,target,9.18,28,2.0,2021,9.0,32.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,LONG,2021-05-20 14:00:00+00:00,13387.0,13380.75,13399.5,2021-05-20 14:01:00+00:00,13399.5,target,20.18,50,1.0,2021,1.0,68.0,MEAN_REVERT_CHOP,Opening Drive
g_inside_bar_breakout,LONG,2021-05-20 14:25:00+00:00,13414.0,13407.5,13427.0,2021-05-20 14:33:00+00:00,13427.0,target,21.18,52,8.0,2021,14.0,62.0,MEAN_REVERT_CHOP,Opening Drive
raschke_baseline,LONG,2021-05-20 18:25:00+00:00,13484.5,13478.75,13496.0,2021-05-20 18:31:00+00:00,13496.0,target,18.18,46,6.0,2021,20.0,55.0,MEAN_REVERT_CHOP,Other RTH
