strategy,n,winners,stop_ticks,target_ticks,winner_mae_p50,winner_mae_p90,mfe_p50,mfe_p75
a_asian_continuation,953,778,11.0,35.0,3.0,11.0,38.0,52.0
bias_momentum,28557,11877,56.0,80.0,20.0,56.0,92.0,161.0
compression_breakout_micro,254,102,16.0,22.0,6.0,16.0,20.0,37.0
compression_breakout_v2,288,66,52.0,6.0,28.0,52.0,15.0,59.0
e_multi_day_breakout,685,533,23.0,53.0,9.0,23.0,59.0,78.0
es_nq_confluence,131,60,20.1,110.0,7.0,20.1,123.0,167.5
g_inside_bar_breakout,1015,708,16.0,40.0,5.0,16.0,46.0,60.0
ib_breakout,195,90,139.1,89.6,67.0,139.1,115.0,230.5
noise_area,9467,0,20.0,14.0,0.0,0.0,19.0,37.0
opening_session,3758,1657,49.0,81.0,20.0,49.0,93.0,149.0
orb_fade,905,122,23.9,47.0,11.0,23.9,38.0,100.0
orb_v2,1,0,71.0,100.0,0.0,0.0,100.0,100.0
raschke_baseline,865,599,19.0,51.0,6.0,19.0,59.0,76.0
spring_setup,20762,8544,104.0,61.0,31.0,104.0,79.0,154.0
vwap_band_pullback,300,126,130.5,75.2,50.0,130.5,99.5,219.0
vwap_band_reversion,2769,1014,116.0,59.0,61.0,116.0,87.0,188.0
vwap_pullback_v2,5437,2107,71.4,46.0,23.0,71.4,64.0,120.0
