strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
bias_momentum,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""min_confluence"": 5.5, ""stop_atr_mult"": 2.0, ""target_rr"": 3.0}",1.2683,4952,1.3102,1445,10688.1,1.0331,False
ib_breakout,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",1.0433,32,0.0,3,-245.46,0.0,True
vwap_band_reversion,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.786,558,0.6821,128,-1845.46,0.8678,False
compression_breakout_micro,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.452,64,0.0567,8,-119.56,0.1253,True
vwap_pullback_v2,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.761,1103,0.8443,273,-1310.36,1.1096,False
big_move_signal,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.0,1,0.0,1,-34.82,0.0,False
orb_fade,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.8503,163,0.7219,43,-202.26,0.849,False
spring_setup,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,{},0.9218,3996,0.8469,1201,-6332.82,0.9187,False
bias_momentum,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""min_confluence"": 5.5, ""stop_atr_mult"": 2.0, ""target_rr"": 3.0}",1.2939,5745,1.258,1259,8374.12,0.9723,False
ib_breakout,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",1.7702,12,3.829,3,296.54,2.1631,False
vwap_band_reversion,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.7795,475,0.9075,133,-531.56,1.1641,False
compression_breakout_micro,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.3663,52,0.3452,9,-58.88,0.9424,False
vwap_pullback_v2,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.7727,1086,0.8192,270,-1550.9,1.0602,False
big_move_signal,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.0,1,0.0,1,-34.82,0.0,False
orb_fade,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.7755,161,0.7154,39,-195.98,0.9226,False
spring_setup,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,{},0.912,4220,0.8401,1138,-6188.16,0.9211,False
bias_momentum,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 1.5, ""target_rr"": 3.0}",1.2885,5286,1.301,811,6292.8,1.0097,False
ib_breakout,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",2.3241,10,0.0909,8,-422.06,0.0391,True
vwap_band_reversion,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.7893,424,0.6675,163,-2166.66,0.8457,False
compression_breakout_micro,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.3436,41,0.6278,12,-25.84,1.8269,False
vwap_pullback_v2,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.762,1077,0.9647,263,-179.16,1.266,False
big_move_signal,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.0,1,0.0,1,-34.82,0.0,False
orb_fade,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.6934,162,0.5578,45,-344.4,0.8045,False
spring_setup,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,{},0.9101,4573,0.8112,908,-5150.56,0.8914,False
bias_momentum,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 2.0, ""target_rr"": 3.0}",1.3097,5641,1.0873,765,1781.7,0.8302,False
ib_breakout,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",1.3472,13,0.5116,24,-726.18,0.3798,True
vwap_band_reversion,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},0.8123,495,0.7965,193,-1276.26,0.9805,False
compression_breakout_micro,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},0.2889,41,0.6192,12,-32.34,2.1435,False
vwap_pullback_v2,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},0.8479,1068,0.9455,275,-274.0,1.1151,False
big_move_signal,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},999.0,1,999.0,1,55.18,1.0,False
orb_fade,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},0.5882,164,0.9728,45,-18.4,1.6538,False
spring_setup,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,{},0.8658,4372,0.7266,949,-7278.68,0.8392,False
bias_momentum,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 1.5, ""target_rr"": 2.5}",1.2582,4351,1.2348,804,4897.72,0.9814,False
ib_breakout,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,"{""ib_minutes"": 15, ""max_ib_width_atr_mult"": 4.0, ""target_extension"": 2.5}",0.8264,27,0.9667,7,-12.24,1.1698,False
vwap_band_reversion,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.767,614,0.6993,170,-1769.4,0.9118,False
compression_breakout_micro,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.3622,41,1.341,16,25.38,3.7024,False
vwap_pullback_v2,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.877,1089,0.8049,282,-1045.24,0.9178,False
big_move_signal,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.0,1,999.0,1,55.18,0.0,False
orb_fade,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.735,172,0.5509,45,-338.4,0.7495,True
spring_setup,4,2022-05-17,2023-05-16,2023-05-17,2023-08-16,{},0.8472,4053,0.8924,902,-2385.14,1.0533,False
bias_momentum,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 2.0, ""target_rr"": 3.0}",1.2348,3858,1.12,895,2791.6,0.907,False
ib_breakout,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",0.9241,45,1.1682,19,157.42,1.2642,False
vwap_band_reversion,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.7594,663,0.9804,163,-102.66,1.291,False
compression_breakout_micro,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.7123,49,0.6774,10,-23.2,0.951,False
vwap_pullback_v2,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.8741,1098,0.7319,288,-1625.16,0.8373,False
big_move_signal,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.0,1,999.0,1,41.18,0.0,False
orb_fade,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.6815,176,0.8492,51,-120.32,1.2461,False
spring_setup,5,2022-08-17,2023-08-16,2023-08-17,2023-11-16,{},0.8079,3845,0.7864,947,-5690.54,0.9735,False
bias_momentum,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 2.0, ""target_rr"": 2.0}",1.2148,4264,1.3204,866,5966.88,1.0869,False
ib_breakout,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",1.0892,62,1.2572,19,206.42,1.1543,False
vwap_band_reversion,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.7727,697,0.7418,179,-1535.46,0.96,False
compression_breakout_micro,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.8138,50,0.5799,13,-32.66,0.7126,True
vwap_pullback_v2,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.8592,1119,0.789,272,-954.04,0.9183,False
big_move_signal,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.0,1,0.0,1,-34.82,0.0,False
orb_fade,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.7178,188,0.5021,48,-399.36,0.6995,True
spring_setup,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,{},0.8442,3631,0.9851,866,-286.12,1.1669,False
bias_momentum,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 2.0, ""target_rr"": 2.0}",1.1894,3926,1.1443,1140,3683.02,0.9621,False
ib_breakout,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 1.5}",1.3546,71,0.1935,19,-1082.08,0.1428,True
vwap_band_reversion,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.7999,714,0.7116,161,-1727.02,0.8895,False
compression_breakout_micro,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.7967,51,0.3438,16,-94.62,0.4316,True
vwap_pullback_v2,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.8093,1127,0.7318,271,-1522.22,0.9042,False
big_move_signal,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},999.0,1,0.0,1,-28.82,0.0,True
orb_fade,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.707,193,0.8996,42,-66.94,1.2724,False
spring_setup,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.8693,3682,0.837,874,-4276.18,0.9628,False
bias_momentum,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""min_confluence"": 6.5, ""stop_atr_mult"": 1.5, ""target_rr"": 2.5}",1.1954,3185,1.4059,1216,11491.88,1.1761,False
