strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
opening_session,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.6704,390,1.6482,64,921.02,0.9867,False
vwap_band_pullback,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",1.2079,73,4.4671,3,271.54,3.6983,False
compression_breakout_v2,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""bb_std"": 1.6, ""target_rr"": 1.5}",0.5084,75,0.4386,15,-192.3,0.8626,False
noise_area,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,555,0.0,91,-438.62,0.0,False
es_nq_confluence,0,2021-05-17,2022-05-16,2022-05-17,2022-08-16,"{""boost_threshold"": 20.0, ""corr_threshold"": 0.8}",2.7355,126,1.867,38,320.84,0.6825,True
opening_session,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.6243,336,1.2791,90,659.7,0.7875,True
vwap_band_pullback,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",1.4658,39,1.2342,5,45.9,0.842,False
compression_breakout_v2,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""bb_std"": 1.6, ""target_rr"": 2.0}",0.4448,72,1.0879,10,13.8,2.4458,False
noise_area,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,518,0.0,113,-544.66,0.0,False
es_nq_confluence,1,2021-08-17,2022-08-16,2022-08-17,2022-11-16,"{""boost_threshold"": 30.0, ""corr_threshold"": 0.9}",2.995,26,1.7115,5,35.9,0.5714,True
opening_session,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.5434,308,1.7202,96,1532.28,1.1146,False
vwap_band_pullback,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",1.1465,16,0.4222,14,-512.48,0.3683,True
compression_breakout_v2,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""bb_std"": 1.6, ""target_rr"": 2.0}",0.6213,57,0.4837,17,-161.94,0.7786,True
noise_area,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,515,0.0,110,-530.2,0.0,False
es_nq_confluence,2,2021-11-17,2022-11-16,2022-11-17,2023-02-16,"{""boost_threshold"": 30.0, ""corr_threshold"": 0.9}",2.7383,31,3.4229,7,122.26,1.25,False
opening_session,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.7027,324,1.2421,119,552.92,0.7295,True
vwap_band_pullback,3,2022-02-17,2023-02-16,2023-02-17,2023-05-16,"{""min_tf_votes"": 2, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",0.7911,30,2.0403,26,687.68,2.579,False
