feature,n_win,n_loss,u,p,cliffs_delta,abs_delta,median_win,median_loss,bonf_alpha,strategy
tf_votes_bullish,54,166,5906.5,0.0002688177008772953,0.317826863007586,0.317826863007586,2.5,2.0,0.0015625,bias_momentum
vwap_std,18,102,747.5,0.20528266532891393,-0.18572984749455335,0.18572984749455335,0.0,27.314999999999998,0.0015625,bias_momentum
hold_time_s,54,166,5248.5,0.059374185783910176,0.1710174029451137,0.1710174029451137,34.7,16.85,0.0015625,bias_momentum
adverse_pre_move_ticks,54,163,3681.5,0.0721392434487946,-0.1634855714610316,0.1634855714610316,-15.0,-7.0,0.0015625,bias_momentum
distance_from_ema9_ticks,54,166,5052.5,0.16065382941593043,0.12728692547969667,0.12728692547969667,51.13999999999942,48.87999999999738,0.0015625,bias_momentum
bar_buy_vol,54,166,5032.0,0.17527494531106746,0.12271307452030333,0.12271307452030333,1865653.0,2048457.0,0.0015625,bias_momentum
bar_sell_vol,54,166,5031.0,0.1760616824279032,0.1224899598393574,0.1224899598393574,1475569.5,1838881.0,0.0015625,bias_momentum
delta_aligned_ratio_5m,54,166,3933.0,0.1770295180163597,-0.1224899598393574,0.1224899598393574,0.46520333695391913,0.4768151959178717,0.0015625,bias_momentum
cvd_slope_5m_per_min,54,166,4006.0,0.24188205400547647,-0.10620258813029892,0.10620258813029892,-62.7,-24.8,0.0015625,bias_momentum
distance_from_vwap_ticks,54,166,4823.5,0.4013213578378012,0.07619366354306112,0.07619366354306112,452.75999999999476,413.26000000000204,0.0015625,bias_momentum
atr_5m,54,166,4148.0,0.411715824485137,-0.07452030343596605,0.07452030343596605,18.990000000000002,19.615000000000002,0.0015625,bias_momentum
atr_15m,54,166,4243.5,0.5578562731666454,-0.053212851405622486,0.053212851405622486,38.17,36.77,0.0015625,bias_momentum
vol_climax_ratio,7,78,287.0,0.8290820513288131,0.05128205128205132,0.05128205128205132,0.7,0.525,0.0015625,bias_momentum
cvd_slope_1m,54,166,4261.5,0.5881877342180466,-0.04919678714859432,0.04919678714859432,-7.5,-13.5,0.0015625,bias_momentum
atr_1m,54,166,4264.5,0.5932836535828628,-0.04852744310575641,0.04852744310575641,7.5,7.785,0.0015625,bias_momentum
tf_votes_bearish,54,166,4272.0,0.5366324270692178,-0.04685408299866134,0.04685408299866134,0.0,0.0,0.0015625,bias_momentum
spread_max_5m,54,166,4303.5,0.6586796306769505,-0.039825970548862166,0.039825970548862166,1.25,1.5,0.0015625,bias_momentum
price_position_in_5m_bar,54,166,4616.0,0.7424811584317422,0.02989736724676484,0.02989736724676484,0.6065078236130867,0.6530017921146953,0.0015625,bias_momentum
cvd_acceleration,54,166,4614.5,0.7452746522264283,0.029562695225345825,0.029562695225345825,19.5,10.100000000000001,0.0015625,bias_momentum
tick_count_5m_after,54,166,4607.0,0.7592870040549279,0.027889335118250758,0.027889335118250758,2934.0,3114.0,0.0015625,bias_momentum
distance_from_5m_high_ticks,54,166,4364.5,0.7733256926473479,-0.02621597501115569,0.02621597501115569,21.5,24.0,0.0015625,bias_momentum
dom_imbalance,54,166,4381.0,0.8040372653516092,-0.022534582775546652,0.022534582775546652,0.583,0.515,0.0015625,bias_momentum
atr_60m,54,166,4580.0,0.8095045472138179,0.021865238732708514,0.021865238732708514,63.59,58.75,0.0015625,bias_momentum
contracts,54,166,4567.0,0.42043698925837525,0.01896474788041047,0.01896474788041047,1.0,1.0,0.0015625,bias_momentum
bid_volume_5m_before,54,166,4563.0,0.8429471634795657,0.01807228915662651,0.01807228915662651,2888.5,3171.5,0.0015625,bias_momentum
cvd,54,166,4404.0,0.8487280987794413,-0.01740294511378848,0.01740294511378848,-80402844.0,-80003133.5,0.0015625,bias_momentum
price_range_5m_ticks,54,166,4405.0,0.8506441623197156,-0.017179830432842436,0.017179830432842436,72.0,77.5,0.0015625,bias_momentum
ask_volume_5m_before,54,166,4410.0,0.8603138632960057,-0.016064257028112428,0.016064257028112428,2720.5,2921.0,0.0015625,bias_momentum
distance_from_5m_low_ticks,54,166,4551.5,0.8651379162303323,0.015506470325747479,0.015506470325747479,50.0,42.0,0.0015625,bias_momentum
spread_avg_5m,54,166,4521.0,0.9245090571670407,0.008701472556894352,0.008701472556894352,0.431352920767331,0.43150540720253816,0.0015625,bias_momentum
tick_count_5m_before,54,166,4475.5,0.988217988095673,-0.0014502454261490216,0.0014502454261490216,2714.0,3090.0,0.0015625,bias_momentum
bar_delta,54,166,4486.0,0.9931116089358005,0.0008924587237839621,0.0008924587237839621,6953.0,0.0,0.0015625,bias_momentum
