entry_ts,entry_price,stop_price,target_price,direction,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,category
2026-06-04T04:00:00.071153+00:00,30344.0,30346.25,30340.625,SHORT,2026-06-04 04:01:00+00:00,30340.625,target,3.375,13.5,A_session_block
2026-06-04T04:01:00.092463+00:00,30320.75,30323.0,30317.375,SHORT,2026-06-04 04:02:00+00:00,30317.375,target,3.375,13.5,A_session_block
2026-06-04T04:02:00.237176+00:00,30317.0,30319.25,30313.625,SHORT,2026-06-04 04:03:00+00:00,30319.25,stop,-2.25,-9.0,A_session_block
2026-06-04T04:03:00.631608+00:00,30315.0,30317.25,30311.625,SHORT,2026-06-04 04:04:00+00:00,30317.25,stop,-2.25,-9.0,A_session_block
2026-06-04T04:04:00.700207+00:00,30316.75,30319.0,30313.375,SHORT,2026-06-04 04:05:00+00:00,30313.375,target,3.375,13.5,A_session_block
2026-06-04T04:04:02.461144+00:00,30317.5,30319.75,30314.125,SHORT,2026-06-04 04:05:00+00:00,30314.125,target,3.375,13.5,A_session_block
2026-06-04T04:05:00.811141+00:00,30303.25,30305.5,30299.875,SHORT,2026-06-04 04:06:00+00:00,30299.875,target,3.375,13.5,A_session_block
2026-06-04T04:06:01.270912+00:00,30293.5,30295.75,30290.125,SHORT,2026-06-04 04:07:00+00:00,30295.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:07:00.867938+00:00,30301.75,30304.0,30298.375,SHORT,2026-06-04 04:08:00+00:00,30304.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:08:00.866940+00:00,30293.25,30295.5,30289.875,SHORT,2026-06-04 04:09:00+00:00,30295.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:09:00.904396+00:00,30316.75,30319.0,30313.375,SHORT,2026-06-04 04:11:00+00:00,30313.375,target,3.375,13.5,A_session_block
2026-06-04T04:09:02.554658+00:00,30316.5,30318.75,30313.125,SHORT,2026-06-04 04:11:00+00:00,30318.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:10:00.952124+00:00,30313.25,30315.5,30309.875,SHORT,2026-06-04 04:11:00+00:00,30315.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:11:00.994692+00:00,30296.0,30298.25,30292.625,SHORT,2026-06-04 04:12:00+00:00,30298.25,stop,-2.25,-9.0,A_session_block
